event	event_label	time	line_id	landmark_label	landmark_type	relatum_label	relatum_type	relation_type	change_type	change_on	attribute_type	outdates	makes_effective
13	boulevard de courcelles || Ouverture || Ordonnance du Bureau des finances du 16 janvier 1789	1789-01-16	10063_ouverture	Boulevard de Courcelles	boulevard				transition	attribute	geometry
234	cour du liégat || Dénomination || Arrêté municipal du 18 juin 1992	1992-06-18	11855_dénomination	Cour du Liégat	cour				transition	attribute	name		cour du Liégat
235	cour du liégat || Historique || Elle avait été provisoirement dénommée D/13		11855_historique	Cour du Liégat	cour				transition	attribute	name	voie D/13	cour du Liégat
236	cour du liégat || Ouverture || Créée lors du lotissement des terrains de la Société de Gestion des immeubles municipaux (arr du 13 janvier 1948, modifié par arr du 29 juin 1955)	1948-01-13	11855_ouverture	Cour du Liégat	cour				transition	attribute	geometry
237	rue de londres || Dénomination || Décision ministérielle du 5 août 1826	1826-08-05	11893_dénomination	Rue de Londres	rue				transition	attribute	name		rue de Londres
238	rue de londres || Ouverture || Ordonnance du 2 février 1826	1826-02-02	11893_ouverture	Rue de Londres	rue				transition	attribute	geometry
239	rue louis armand || Dénomination || Arrêté du 10 mars 1977	1977-03-10	11902_dénomination	Rue Louis Armand	rue				transition	attribute	name		rue Louis Armand
240	rue louis armand || Historique || La partie A a été créée dans le cadre de l'aménagement du boulevard Périphérique		11902_historique_1	Rue Louis Armand	rue				transition	attribute	geometry
241	rue louis armand || Historique || Elle avait été provisoirement dénommée AH/15		11902_historique_2	Rue Louis Armand	rue				transition	attribute	name	voie AH/15	rue Louis Armand
242	rue louis armand || Historique || La partie B, située autrefois sur le territoire d'Issy-les-Moulineaux annexé à Paris par décret du 2 avril 1925, était dénommée rue Grognet	1925-04-02	11902_historique_3	Rue Grognet	rue	Issy-les-Moulineaux	municipality	within	disappearance	landmark
242	rue louis armand || Historique || La partie B, située autrefois sur le territoire d'Issy-les-Moulineaux annexé à Paris par décret du 2 avril 1925, était dénommée rue Grognet	1925-04-02	11902_historique_3	Rue Louis Armand	rue				transition	attribute	geometry
243	rue louis armand || Numérotation || Arrêté du 1er août 1977	1977-08	11902_numérotation	Rue Louis Armand	rue				numerotation	landmark
244	rue louis blanc || Dénomination || Arrêté du 10 novembre 1885	1885-11-10	11905_dénomination	Rue Louis Blanc	rue				transition	attribute	name		rue Louis Blanc
245	rue louis blanc || Historique || Précédemment, rue de la Butte Chaumont (décision ministérielle du 2 octobre 1821)	1821-10-02	11905_historique_1	Rue Louis Blanc	rue				transition	attribute	name	rue de la Butte Chaumont	rue Louis Blanc
246	rue louis blanc || Historique || anciennement rue de la Voirie puis, rue de la Boyauterie ou Boyauderie et rue Dubois		11905_historique_2	Rue Louis Blanc	rue				transition	attribute	name	rue de la Voirie
248	rue louis blanc || Historique || La partie entre le quai de Jemmapes et le quai de Valmy a été dénommée pont Bernadette Lafont par délibération municipale des 8, 9, 10 et 11 octobre 2024	2024-10-11	11905_historique_4	Pont Bernadette Lafont	pont				transition	attribute	name		pont Bernadette Lafont
249	rue louis blanc || Numérotation || Arrêté du 3 septembre 1879, entre les rues du Faubourg Saint-Martin et du Faubourg Saint-Denis	1879-09-03	11905_numérotation	Rue Louis Blanc	rue				numerotation	landmark
250	rue louis blanc || Ouverture || Décret du 21 avril 1866 (UP), entre les rues du Château Landon et du Faubourg Saint-Denis	1866-04-21	11905_ouverture	Rue Louis Blanc	rue				transition	attribute	geometry
251	allée louis aragon || Dénomination || Arrêté municipal du 28 août 1985	1985-08-28	11906_dénomination	Allée Louis Aragon	allée				transition	attribute	name		allée Louis Aragon
253	allée louis aragon || Historique || Elle avait été provisoirement dénommée Z/1		11906_historique_2	Allée Louis Aragon	allée				transition	attribute	name	voie Z/1	allée Louis Aragon
254	passage louis-philippe || Classement || Arrêté municipal du 9 avril 1993	1993-04-09	11932_classement	Passage Louis-Philippe	passage				classement	landmark
255	rue de la lune || Historique || Cette voie était construite en 1648	1648	11962_historique	Rue de la Lune	rue				appearance	landmark
256	avenue mac-mahon || Historique || Précédemment partie de l'avenue du Prince Jérôme		11974_historique_1	Avenue du Prince Jérôme	avenue				transition	attribute	geometry
257	avenue mac-mahon || Historique || Elle a englobé dans la partie A un tronçon de la rue de l'Arc de Triomphe		11974_historique_2	Avenue Mac-Mahon	avenue				transition	attribute	geometry
257	avenue mac-mahon || Historique || Elle a englobé dans la partie A un tronçon de la rue de l'Arc de Triomphe		11974_historique_2	Rue de l'Arc de Triomphe	rue				transition	attribute	geometry
258	avenue mac-mahon || Ouverture || Décret du 13 août 1854, entre la place Charles de Gaulle et la rue de Tilsitt (A)	1854-08-13	11974_ouverture_1	Avenue Mac-Mahon	avenue				transition	attribute	geometry
259	avenue mac-mahon || Ouverture || Décret du 31 juillet 1867 (UP), entre la rue de Tilsitt et l'avenue des Ternes	1867-07-31	11974_ouverture_2	Avenue Mac-Mahon	avenue				transition	attribute	geometry
260	rue du mail || Ouverture || Arrêté du Conseil du Roi du 23 novembre 1633	1633-11-23	11992_ouverture	Rue du Mail	rue				transition	attribute	geometry
261	rue de la main d'or || Classement || Arrêté du 14 janvier 1933	1933-01-14	11996_classement	Rue de la Main d'Or	rue				classement	landmark
262	rue de la main d'or || Historique || Ouverte par M Carnaud		11996_historique	Rue de la Main d'Or	rue				transition	attribute	geometry
263	rue de la main d'or || Ouverture || Ouverte en 1893	1893	11996_ouverture	Rue de la Main d'Or	rue				transition	attribute	geometry
264	avenue du maine || Classement || Décret du 23 mai 1863, entre le boulevard de Vaugirard et la place Victor et Hélène Basch (B)	1863-05-23	11997_classement_1	Avenue du Maine	avenue				classement	landmark
265	avenue du maine || Classement || Précédemment tronçon de la route départementale n° 55 (Décret du 7 janvier 1813) dans cette dernière partie	1813-01-07	11997_classement_2	Avenue du Maine	avenue				classement	landmark
266	avenue du maine || Dénomination || Arrêté du 1er février 1877, partie B	1877-02	11997_dénomination	Avenue du Maine	avenue				transition	attribute	name		avenue du Maine
267	avenue du maine || Historique || Précédemment chaussée du Maine dans la partie B		11997_historique_1	Avenue du Maine	avenue				transition	attribute	geometry
267	avenue du maine || Historique || Précédemment chaussée du Maine dans la partie B		11997_historique_1	Chaussée du Maine	boulevard				disappearance	landmark
270	avenue du maine || Numérotation || Arrêté du 15 avril 1883, partie B	1883-04-15	11997_numérotation_1	Avenue du Maine	avenue				numerotation	landmark
271	avenue du maine || Numérotation || Arrêté du 26 octobre 1877, entre les boulevards du Montparnasse et de Vaugirard	1877-10-26	11997_numérotation_2	Avenue du Maine	avenue				numerotation	landmark
272	rue du maine || Classement || Décret du 23 mai 1863	1863-05-23	11998_classement	Rue du Maine	rue				classement	landmark
273	rue du maine || Historique || Précédemment rue Charlot dans la partie M et rue Neuve du Maine dans le surplus		11998_historique	Rue Charlot	rue				disappearance	landmark
273	rue du maine || Historique || Précédemment rue Charlot dans la partie M et rue Neuve du Maine dans le surplus		11998_historique	Rue du Maine	rue				transition	attribute	geometry
273	rue du maine || Historique || Précédemment rue Charlot dans la partie M et rue Neuve du Maine dans le surplus		11998_historique	Rue Neuve du Maine	rue				disappearance	landmark
274	avenue du maréchal gallieni || Dénomination || Arrêté du 13 août 1918, approuvé par décret du 26 septembre 1918 (avenue du Général Gallieni)	1918-09-26	12075_dénomination_1	Avenue du Maréchal Gallieni	avenue				transition	attribute	name		avenue du Général Gallieni
275	avenue du maréchal gallieni || Dénomination || Transformée en avenue du Maréchal Gallieni lors de son élévation à la dignité de Maréchal de France le 7 mai 1921	1921-05-07	12075_dénomination_2	Avenue du Maréchal Gallieni	avenue				transition	attribute	name		avenue du Maréchal Gallieni
276	avenue du maréchal gallieni || Historique || Précédemment, avenue du Général Gallieni		12075_historique	Avenue du Maréchal Gallieni	avenue				transition	attribute	name	avenue du Général Gallieni	avenue du Maréchal Gallieni
277	place marie de miribel || Dénomination || Arrêté municipal du 15 septembre 1982	1982-09-15	12094_dénomination	Place Marie de Miribel	place				transition	attribute	name		place Marie de Miribel
278	rue marietta martin || Classement || Décret du 27 août 1908	1908-08-27	12101_classement	Rue Marietta Martin	rue				classement	landmark
279	rue marietta martin || Dénomination || Arrêté du 2 mai 1955	1955-05-02	12101_dénomination	Rue Marietta Martin	rue				transition	attribute	name		rue Marietta Martin
280	rue marietta martin || Historique || Précédemment rue de la Muette		12101_historique	Rue Marietta Martin	rue				transition	attribute	name	rue de la Muette	rue Marietta Martin
281	rue marietta martin || Ouverture || Ouverte en 1906	1906	12101_ouverture	Rue Marietta Martin	rue				transition	attribute	geometry
282	rue marsollier || Dénomination || Voie dénommée en 1829	1829	12122_dénomination	Rue Marsollier	rue				transition	attribute	name		rue Marsollier
283	rue marsollier || Ouverture || Ordonnance du 8 octobre 1826, sauf au droit des nos 15 (partie), 17 et 19	1826-10-08	12122_ouverture	Rue Marsollier	rue				transition	attribute	geometry
284	rue marsoulan || Classement || Décret du 20 mars 1867 entre la rue du Rendez-Vous et le cours de Vincennes (B)	1867-03-20	12123_classement	Rue Marsoulan	rue				classement	landmark
285	rue marsoulan || Dénomination || Arrêté du 16 juillet 1912, approuvé par décret du 26 août 1912	1912-08-26	12123_dénomination	Rue Marsoulan	rue				transition	attribute	name		rue Marsoulan
286	rue marsoulan || Historique || Précédemment rue Ruty		12123_historique	Rue Marsoulan	rue				transition	attribute	name	rue Ruty	rue Marsoulan
287	rue marsoulan || Numérotation || Arrêté du 25 mars 1908	1908-03-25	12123_numérotation	Rue Marsoulan	rue				numerotation	landmark
288	rue marsoulan || Ouverture || Décret du 2 juillet 1909 (UP), entre la partie d'une longueur de 45 m environ qui débouchait boulevard de Picpus et la rue du Rendez-Vous	1909-07-02	12123_ouverture_1	Rue Marsoulan	rue				transition	attribute	geometry
289	rue marsoulan || Ouverture || La partie A avait été amorcée par la Ville de Paris en 1905 du côté du boulevard de Picpus sur une longueur de 45 m	1905	12123_ouverture_2	Rue Marsoulan	rue				transition	attribute	geometry
290	rue marsoulan || Ouverture || La partie B a été ouverte en 1866	1866	12123_ouverture_3	Rue Marsoulan	rue				transition	attribute	geometry
291	impasse martini || Dénomination || Arrêté du 7 décembre 1900 approuvé par décret du 6 janvier 1901	1901-01-06	12130_dénomination	Impasse Martini	impasse				transition	attribute	name		impasse Martini
292	impasse martini || Historique || Précédemment impasse de l'Egout		12130_historique_1	Impasse Martini	impasse				transition	attribute	name	impasse de l'Egout	impasse Martini
293	impasse martini || Historique || plus anciennement cul-de-sac de l'Egout		12130_historique_2	Impasse Martini	impasse				transition	attribute	name	cul-de-sac de l'Egout
295	rue mérimée || Classement || Arrêté préfectoral du 28 septembre 1987	1987-09-28	12213_classement	Rue Mérimée	rue				classement	landmark
296	rue mérimée || Dénomination || Voie dénommée en 1894	1894	12213_dénomination	Rue Mérimée	rue				transition	attribute	name		rue Mérimée
297	rue mérimée || Historique || Précédemment passage des Belles Feuilles et plus anciennement passage des Biches		12213_historique	Rue Mérimée	rue				transition	attribute	name	passage des Belles Feuilles	rue Mérimée
298	avenue de messine || Historique || Précédemment rue de Messine (déc min du 5 août 1821) dans la partie A		12223_historique_1	Avenue de Messine	avenue				transition	attribute	name	rue de Messine	avenue de Messine
300	avenue de messine || Historique || La partie de l'avenue formant intersection avec les rues de la Bienfaisance, Treilhard, de Téhéran et du Docteur Lancereaux a été dénommée place de Narvik		12223_historique_3	Place de Narvik	place				transition	attribute	name		place de Narvik
301	avenue de messine || Numérotation || Arrêté du 29 mai 1876	1876-05-29	12223_numérotation_1	Avenue de Messine	avenue				numerotation	landmark
302	avenue de messine || Numérotation || Arrêté du 16 avril 1907, nos 23 et 23 bis	1907-04-16	12223_numérotation_2	Avenue de Messine	avenue				numerotation	landmark
303	avenue de messine || Ouverture || Décret du 16 juillet 1862 (UP), depuis le boulevard Haussmann et la rue de Miromesnil jusqu'à la rue de Téhéran	1862-07-16	12223_ouverture_1	Avenue de Messine	avenue				transition	attribute	geometry
304	avenue de messine || Ouverture || Ordonnance du 2 février 1826, le surplus (A)	1826-02-02	12223_ouverture_2	Avenue de Messine	avenue				transition	attribute	geometry
305	rue michel-ange || Dénomination || Décret du 2 mars 1864	1864-03-02	12236_dénomination	Rue Michel-Ange	rue				transition	attribute	name		rue Michel-Ange
306	rue michel-ange || Ouverture || Décret du 30 novembre 1862 (UP)	1862-11-30	12236_ouverture	Rue Michel-Ange	rue				transition	attribute	geometry
307	rue mignon || Historique || Elle fut d'abord appelée rue des Petits Champs, puis rue de la Semelle		12250_historique	Rue Mignon	rue				transition	attribute	name	rue des Petits Champs	rue de la Semelle
308	rue mignon || Ouverture || Ouverte en 1179	1179	12250_ouverture	Rue Mignon	rue				transition	attribute	geometry
309	rue du montparnasse || Dénomination || Lettres patentes du 5 octobre 1773, partie A	1773-10-05	12356_dénomination	Rue du Montparnasse	rue				transition	attribute	name		rue du Montparnasse
310	rue du montparnasse || Ouverture || La partie A a été créée vers 1776 en vertu des lettres patentes du 5 octobre 1773 (larg : 30 pieds)	1776	12356_ouverture_1	Rue du Montparnasse	rue				transition	attribute	geometry
311	rue du montparnasse || Ouverture || L'ouverture de la partie B a eu lieu vers 1786	1786	12356_ouverture_2	Rue du Montparnasse	rue				transition	attribute	geometry
312	boulevard morland || Dénomination || Décret du 14 février 1806 (quai du Colonel Morland)	1806-02-14	12374_dénomination	Boulevard Morland	boulevard				transition	attribute	name	quai du Colonel Morland
313	boulevard morland || Historique || Précédemment quai du Colonel Morland, nommé également quai Morland		12374_historique_1	Boulevard Morland	boulevard				transition	attribute	name	quai du Colonel Morland	boulevard Morland
314	boulevard morland || Historique || antérieurement quai du Mail		12374_historique_2	Boulevard Morland	boulevard				transition	attribute	name	quai du Mail
315	boulevard morland || Historique || Le quai du Mail, qui avait été créé vers 1770 sur l'emplacement de l'ancien Mail, longeait le petit bras de la Seine situé au nord de l'île Louviers	1770	12374_historique_3	Boulevard Morland	boulevard				appearance	landmark
316	boulevard morland || Historique || En 1844, après le comblement de ce bras de la Seine, le quai Morland fut transformé en boulevard	1844	12374_historique_4	Boulevard Morland	boulevard				transition	attribute	name	quai Morland	boulevard Morland
317	boulevard morland || Numérotation || Arrêté du 1er mai 1879	1879-05	12374_numérotation	Boulevard Morland	boulevard				numerotation	landmark
318	impasse du moulin vert || Classement || Arrêté municipal du 8 novembre 1991	1991-11-08	12397_classement	Impasse du Moulin Vert	impasse				classement	landmark
319	impasse du moulin vert || Dénomination || Arrêté du 1er février 1877	1877-02	12397_dénomination	Impasse du Moulin Vert	impasse				transition	attribute	name		impasse du Moulin Vert
320	impasse du moulin vert || Historique || Précédemment cité Chauvelot		12397_historique	Impasse du Moulin Vert	impasse				transition	attribute	name	cité Chauvelot	impasse du Moulin Vert
321	rue mousset-robert || Classement || Arrêté préfectoral du 24 mars 1988	1988-03-24	12402_classement	Rue Mousset-Robert	rue				classement	landmark
322	rue mousset-robert || Ouverture || Ouverte en 1896	1896	12402_ouverture	Rue Mousset-Robert	rue				transition	attribute	geometry
323	place nationale || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	12440_classement_1	Place Nationale	place				classement	landmark
324	place nationale || Classement || Précédemment voie de l'ancienne commune d'Ivry		12440_classement_2	Place Nationale	place	Ivry	municipality	within	disappearance	relation
326	place nationale || Numérotation || Arrêté du 31 décembre 1886 (numérotage de la rue Nationale)	1886-12-31	12440_numérotation	Place Nationale	place				numerotation	landmark
327	pont neuf || Classement || Arrêté ministériel du 22 juillet 1988, dans la voirie parisienne (ponts)	1988-07-22	12454_classement	Pont Neuf	pont				classement	landmark
329	pont neuf || Ouverture || Construit entre 1578 et 1607	1578	12454_ouverture	Pont Neuf	pont				transition	attribute	geometry
331	avenue de neuilly || Historique || La réalisation de la place de la Porte Maillot a englobé une partie de l'avenue de Neuilly		12455_historique_2	Avenue de Neuilly	avenue				transition	attribute	geometry
332	rue nicolas flamel || Dénomination || Décret présidentiel du 18 février 1851 et arrêté préfectoral du 11 mars 1851	1851-03-11	12475_dénomination	Rue Nicolas Flamel	rue				transition	attribute	name		rue Nicolas Flamel
333	rue nicolas flamel || Historique || Elle existait en 1280, sous le nom de rue Marivas		12475_historique_1	Rue Nicolas Flamel	rue				transition	attribute	name	rue Marivas
335	rue nicolas flamel || Historique || Avant 1851, elle s'appelait rue Marivaux	1851	12475_historique_3	Rue Nicolas Flamel	rue				transition	attribute	name	rue Marivaux
336	hameau nicolo || Dénomination || Décision municipale du 23 janvier 1992	1992-01-23	12483_dénomination	Hameau Nicolo	voie				transition	attribute	name		Hameau Nicolo
337	hameau nicolo || Historique || Il avait été provisoirement dénommé J/16		12483_historique	Hameau Nicolo	voie				transition	attribute	name	voie J/16	hameau Nicolo
339	avenue de l'observatoire || Historique || La partie située côté impair, limitée par le chemin de fer et comprise entre les boulevards Saint-Michel et de Port-Royal a été dénommée avenue Georges Bernanos		12521_historique_2	Avenue de l'Observatoire	avenue				transition	attribute	geometry
339	avenue de l'observatoire || Historique || La partie située côté impair, limitée par le chemin de fer et comprise entre les boulevards Saint-Michel et de Port-Royal a été dénommée avenue Georges Bernanos		12521_historique_2	Avenue Georges Bernanos	avenue				transition	attribute	name		avenue Georges Bernanos
340	avenue de l'observatoire || Numérotation || Arrêté du 13 novembre 1880 (côté impair)	1880-11-13	12521_numérotation_1	Avenue de l'Observatoire	avenue				numerotation	landmark
341	avenue de l'observatoire || Numérotation || Arrêté du 6 mai 1884 (côté pair)	1884-05-06	12521_numérotation_2	Avenue de l'Observatoire	avenue				numerotation	landmark
342	avenue de l'observatoire || Ouverture || Décret du 14 août 1866 (UP), depuis la rue Auguste Comte jusqu'à la rue d'Assas et au boulevard Saint-Michel (A)	1866-08-14	12521_ouverture	Avenue de l'Observatoire	avenue				transition	attribute	geometry
343	place de l'opéra || Dénomination || Arrêté du 19 août 1864, partie A	1864-08-19	12545_dénomination_1	Place de l'Opéra	place				transition	attribute	name		place de l'Opéra
344	place de l'opéra || Dénomination || Arrêté du 10 novembre 1873, partie B	1873-11-10	12545_dénomination_2	Place de l'Opéra	place				transition	attribute	geometry
345	place de l'opéra || Ouverture || Décret du 16 juillet 1862 (UP), partie située au nord du boulevard des Capucines (A)	1862-07-16	12545_ouverture_1	Place de l'Opéra	place				transition	attribute	geometry
346	place de l'opéra || Ouverture || Décret du 24 août 1864 (UP), partie située au sud du boulevard des Capucines (B)	1864-08-24	12545_ouverture_2	Place de l'Opéra	place				transition	attribute	geometry
347	rue pache || Classement || Décret du 18 novembre 1886	1886-11-18	12591_classement	Rue Pache	rue				classement	landmark
348	rue pache || Dénomination || Arrêté du 10 novembre 1885	1885-11-10	12591_dénomination	Rue Pache	rue				transition	attribute	name		rue Pache
349	rue pache || Historique || Ouverte sur des terrains vendus par l'Assistance Publique		12591_historique	Rue Pache	rue				transition	attribute	geometry
350	rue pache || Ouverture || Ouverte en 1883	1883	12591_ouverture	Rue Pache	rue				transition	attribute	geometry
351	rue pajol || Classement || Décret du 23 mai 1863, dans la voirie parisienne	1863-05-23	12598_classement_1	Rue Pajol	rue				classement	landmark
352	rue pajol || Classement || Précédemment voie de l'ancienne commune de la Chapelle		12598_classement_2	Rue Pajol	rue	La Chapelle	municipality	within	disappearance	relation
353	rue pajol || Dénomination || Décret du 2 octobre 1865	1865-10-02	12598_dénomination	Rue Pajol	rue				transition	attribute	name		rue Pajol
354	rue pajol || Historique || Précédemment, rue Neuve de Strasbourg, entre la place de la Chapelle et la rue du Département		12598_historique_1	Rue Neuve de Strasbourg	rue				disappearance	landmark
354	rue pajol || Historique || Précédemment, rue Neuve de Strasbourg, entre la place de la Chapelle et la rue du Département		12598_historique_1	Rue Pajol	rue				transition	attribute	geometry
357	rue pajol || Ouverture || Décret du 24 mai 1859 (UP), entre la rue de Torcy et la place Hébert	1859-05-24	12598_ouverture	Rue Pajol	rue				transition	attribute	geometry
358	boulevard du palais || Dénomination || Arrêté du 19 août 1864	1864-08-19	12600_dénomination	Boulevard du Palais	boulevard				transition	attribute	name		boulevard du Palais
360	boulevard du palais || Historique || Il a absorbé la rue de la Barillerie		12600_historique_2	Boulevard du Palais	boulevard				transition	attribute	geometry
365	boulevard du palais || Numérotation || Arrêté du 14 août 1872	1872-08-14	12600_numérotation	Boulevard du Palais	boulevard				numerotation	landmark
366	rue de palestro || Classement || Décret du 17 octobre 1881, entre les rues Greneta et de Turbigo (A)	1881-10-17	12606_classement	Rue de Palestro	rue				classement	landmark
367	rue de palestro || Historique || La partie A a été ouverte par la Ville de Paris lors du percement du boulevard de Sébastopol		12606_historique	Rue de Palestro	rue				transition	attribute	geometry
368	rue de palestro || Ouverture || Décret du 23 août 1858 (UP), entre les rues Greneta et du Caire (B)	1858-08-23	12606_ouverture	Rue de Palestro	rue				transition	attribute	geometry
369	terrasse du parc || Dénomination || Décision municipale du 20 février 1990	1990-02-20	12622_dénomination	Terrasse du Parc	voie				transition	attribute	name		terrasse du Parc
370	terrasse du parc || Historique || Elle avait été provisoirement dénommée CH/19		12622_historique	Terrasse du Parc	voie				transition	attribute	name	voie CH/19	terrasse du Parc
371	avenue parmentier || Dénomination || Arrêté du 19 août 1864, partie A	1864-08-19	12635_dénomination	Avenue Parmentier	avenue				transition	attribute	name		avenue Parmentier
372	avenue parmentier || Historique || La partie A était connue sous le nom d'avenue Parmentier depuis son ouverture		12635_historique_1	Avenue Parmentier	avenue				transition	attribute	geometry
373	avenue parmentier || Historique || L'avenue Parmentier a absorbé la partie du passage Léchevin (act		12635_historique_2	Avenue Parmentier	avenue				transition	attribute	geometry
375	avenue parmentier || Numérotation || Arrêté du 8 juillet 1879 nos 33 à 113 et 50 à 124	1879-07-08	12635_numérotation_1	Avenue Parmentier	avenue				numerotation	landmark
376	avenue parmentier || Numérotation || Arrêté du 9 novembre 1885 nos 11 bis à 13 bis	1885-11-09	12635_numérotation_2	Avenue Parmentier	avenue				numerotation	landmark
377	avenue parmentier || Numérotation || Arrêté du 26 mars 1904 nos 137 à 161 et 152 à 174	1904-03-26	12635_numérotation_3	Avenue Parmentier	avenue				numerotation	landmark
378	avenue parmentier || Numérotation || Arrêté du 19 avril 1922, attribuant aux immeubles nos 4 et 6 de la rue Edouard Lockroy les nos 88 bis et 88 ter, de l'avenue Parmentier	1922-04-19	12635_numérotation_4	Avenue Parmentier	avenue				numerotation	landmark
379	avenue parmentier || Numérotation || Arrêté du 21 octobre 1872, le surplus	1872-10-21	12635_numérotation_5	Avenue Parmentier	avenue				numerotation	landmark
380	avenue parmentier || Ouverture || Décret du 29 août 1857 (UP), entre la place Léon Blum et la rue du Chemin Vert (A)	1857-08-29	12635_ouverture_1	Avenue Parmentier	avenue				transition	attribute	geometry
382	avenue parmentier || Ouverture || Décret du 4 novembre 1876 (UP), entre les rues Saint-Ambroise et de la Fontaine au Roi (C)	1876-11-04	12635_ouverture_3	Avenue Parmentier	avenue				transition	attribute	geometry
383	avenue parmentier || Ouverture || Décret du 16 avril 1883 (UP), entre les rues de la Fontaine au Roi et du Faubourg du Temple (D)	1883-04-16	12635_ouverture_4	Avenue Parmentier	avenue				transition	attribute	geometry
384	avenue parmentier || Ouverture || Décret du 12 février 1887 (UP), entre les rues du Faubourg du Temple et Jacques Louvel-Tessier (E)	1887-02-12	12635_ouverture_5	Avenue Parmentier	avenue				transition	attribute	geometry
385	avenue parmentier || Ouverture || Décret du 10 décembre 1855, entre les rues Jacques Louvel-Tessier et Alibert (F)	1855-12-10	12635_ouverture_6	Avenue Parmentier	avenue				transition	attribute	geometry
386	place paul reynaud || Dénomination || Arrêté municipal du 1er octobre 1981	1981-10	12703_dénomination	Place Paul Reynaud	place				transition	attribute	name		place Paul Reynaud
387	villa paul verlaine || Classement || Arrêté municipal du 1er mars 1990	1990-03	12711_classement	Villa Paul Verlaine	villa				classement	landmark
388	villa paul verlaine || Historique || Ouverte dans un lotissement appartenant à M Frémont		12711_historique	Villa Paul Verlaine	villa				transition	attribute	geometry
389	villa paul verlaine || Ouverture || Ouverte en 1926 (Arrêté du 15 mai 1925)	1926	12711_ouverture	Villa Paul Verlaine	villa				transition	attribute	geometry
390	rue péclet || Classement || Décret du 23 mai 1863, entre les rues Mademoiselle et Petel (A)	1863-05-23	12718_classement_1	Rue Péclet	rue				classement	landmark
391	rue péclet || Classement || Précédemment voie de l'ancienne commune de Vaugirard dans cette partie		12718_classement_2	Rue Péclet	rue	Vaugirard	municipality	within	disappearance	relation
392	rue péclet || Dénomination || Décret du 24 août 1864, partie A	1864-08-24	12718_dénomination	Rue Péclet	rue				transition	attribute	name		rue Péclet
393	rue péclet || Historique || Précédemment partie de la descente de la Sablonnière et antérieurement partie de la rue du Perroquet dans le tronçon A		12718_historique_1	Descente de la Sablonnière	voie				transition	attribute	geometry
393	rue péclet || Historique || Précédemment partie de la descente de la Sablonnière et antérieurement partie de la rue du Perroquet dans le tronçon A		12718_historique_1	Rue du Perroquet	rue				transition	attribute	geometry
394	rue péclet || Historique || La partie C ouverte vers 1866 lors de la construction de la mairie du XVe arrondissement a été élargie par la Ville de Paris du côté pair en 1902	1866	12718_historique_2	Rue Péclet	rue				transition	attribute	geometry
395	rue péclet || Historique || Le tronçon de la rue Petel compris entre l'actuelle rue Péclet et la rue Lecourbe faisait partie avant 1873 de la rue Péclet	1873	12718_historique_3	Rue Péclet	rue				transition	attribute	geometry
395	rue péclet || Historique || Le tronçon de la rue Petel compris entre l'actuelle rue Péclet et la rue Lecourbe faisait partie avant 1873 de la rue Péclet	1873	12718_historique_3	Rue Petel	rue				transition	attribute	geometry
396	rue péclet || Ouverture || Décret du 23 septembre 1875 (UP), entre les rues Petel et Lecourbe (B)	1875-09-23	12718_ouverture_1	Rue Péclet	rue				transition	attribute	geometry
397	rue péclet || Ouverture || Partie C ouverte vers 1866	1866	12718_ouverture_2	Rue Péclet	rue				transition	attribute	geometry
398	rue perdonnet || Dénomination || Décret du 10 août 1868	1868-08-10	12738_dénomination	Rue Perdonnet	rue				transition	attribute	name		rue Perdonnet
399	rue perdonnet || Numérotation || Arrêté du 25 août 1879, entre la rue Louis Blanc et le boulevard de la Chapelle	1879-08-25	12738_numérotation	Rue Perdonnet	rue				numerotation	landmark
400	rue perdonnet || Ouverture || Arrêté du 17 septembre 1866	1866-09-17	12738_ouverture	Rue Perdonnet	rue				transition	attribute	geometry
401	cour des petites écuries || Classement || Arrêté municipal du 16 décembre 1993 (partie A, et partie B entre les numéros 11 et 21 compris)	1993-12-16	12781_classement_1	Cour des Petites Écuries	cour				classement	landmark
403	cour des petites écuries || Dénomination || Arrêté municipal du 22 janvier 2001 (partie B)	2001-01-22	12781_dénomination	Cour des Petites Écuries	cour				transition	attribute	name		cour des Petites Écuries
406	cour des petites écuries || Historique || Il a été dénommé cour des Petites Ecuries par arrêté de dénomination du 22 janvier 2001	2001-01-22	12781_historique_3	Cour des Petites Écuries	cour				transition	attribute	name		cours des Petites Écuries
407	rue philippe de girard || Classement || Décret du 23 mai 1863, partie B	1863-05-23	12815_classement_1	Rue Philippe de Girard	rue				classement	landmark
408	rue philippe de girard || Classement || Précédemment voie de l'ancienne commune de la Chapelle dans cette partie		12815_classement_2	Rue Philippe de Girard	rue	La Chapelle	municipality	within	disappearance	relation
409	rue philippe de girard || Dénomination || Décret du 2 octobre 1865	1865-10-02	12815_dénomination	Rue Philippe de Girard	rue				transition	attribute	name		rue Philippe de Girard
410	rue philippe de girard || Historique || Précédemment rue de la Chapelle dans la partie A et rue de Chabrol dans la partie B		12815_historique_1	Rue de Chabrol	rue				transition	attribute	geometry
410	rue philippe de girard || Historique || Précédemment rue de la Chapelle dans la partie A et rue de Chabrol dans la partie B		12815_historique_1	Rue de la Chapelle	rue				transition	attribute	geometry
